Название товара;Цена
Стул врача Castellini C7 с опорным кольцом, цвет голубой перламутр;53668.0
Стул врача Castellini C7 с опорным кольцом, цвет темно-синий;53668.0
Стул врача Castellini C7 с опорным кольцом, цвет черный перламутр;53668.0
Стул врача Castellini C7 с опорным кольцом, цвет светло-зеленый перламутр;53668.0
Стул врача Castellini C7 с опорным кольцом, цвет золотисто-салатовый;53668.0
Стул врача Castellini C7 с опорным кольцом, цвет голубой океан;53668.0
Стул врача Castellini C7 с опорным кольцом, цвет фиолетовый;53668.0
Стул врача Castellini C7 с опорным кольцом, цвет серебристый перламутр;53668.0
Стул врача Castellini C7 с опорным кольцом, цвет коралл;53668.0
Стул врача Castellini C7 с опорным кольцом, цвет бордовый;53668.0
Стул ассистента Castellini C8 с опорным кольцом, цвет коралл;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет светло-зеленый перламутр;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет голубой перламутр;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет темно-синий;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет бордовый;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет черный перламутр;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет голубой;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет сиреневый;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет слоновая кость;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет золотисто-салатовый;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет голубой океан;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет фиолетовый;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет серебристый перламутр;46397.0
Стул ассистента Castellini C8 с опорным кольцом, цвет бирюза;46397.0
Переходник для канюли MONOART 10 шт;1310.0
Уценка Relyx Temp NE-временный цемент без эвгенола -базовая паста 30 г+ катализатор 13 г (56660) (срок 17.07.2024);3400.0
Масло для уплотнительных соединений для NSK Prophy-Mate NEO;950.0
Набор детских коронок 48 шт Stainless Steel Primary Molar Crowns (Корейские);18611.0
Calasept - (1шпр.x 1,5мл.);2720.0
Панель для замешивания с защитным экраном;1600.0
Насадки смесительные для Pentamix, красные - (1 х 30шт.);5200.0
Аппарат Ларина;22500.0
